label,config_hash,profile,scenario,exposure_s,realization,injected_model,fit_model,method,stage,seed,parameter,truth,estimate,error,relative_error,delta_c,evaluations,wall_time_s,boundary_hits,failure
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga,raw,7673148484487216605,gamma,2.1,2.343159874291944,0.24315987429194408,0.11579041632949717,1427.267519769035,800,0.19868720000158646,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga,raw,7673148484487216605,norm,0.25,0.425710724833109,0.175710724833109,0.702842899332436,1427.267519769035,800,0.19868720000158646,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga+scipy,polished,7673148484487216605,tin,0.7,0.702095250867115,0.0020952508671150394,0.0029932155244500563,9.913321719068335e-09,1245,0.2850765000002866,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga+scipy,polished,7673148484487216605,ndisk,8000.0,7740.84800529718,-259.15199470282005,-0.0323939993378525,9.913321719068335e-09,1245,0.2850765000002866,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga+scipy,polished,7673148484487216605,gamma,2.1,2.1104021599042238,0.010402159904223662,0.004953409478201744,9.913321719068335e-09,1245,0.2850765000002866,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga+scipy,polished,7673148484487216605,norm,0.25,0.25449864691639096,0.004498646916390958,0.017994587665563833,9.913321719068335e-09,1245,0.2850765000002866,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,scipy,best_multistart,10806733407753095585,tin,0.7,0.742073921672574,0.042073921672574066,0.06010560238939153,0.0,980,0.2015594999993482,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,scipy,best_multistart,10806733407753095585,ndisk,8000.0,7822.933867163282,-177.06613283671777,-0.02213326660458972,0.0,980,0.2015594999993482,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,scipy,best_multistart,10806733407753095585,gamma,2.1,2.207267082173337,0.1072670821733368,0.05107956293968419,0.0,980,0.2015594999993482,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,scipy,best_multistart,10806733407753095585,norm,0.25,0.22610135237637144,-0.02389864762362856,-0.09559459049451424,0.0,980,0.2015594999993482,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga,raw,11409153507961878931,tin,0.7,1.3206307606152632,0.6206307606152632,0.886615372307519,2177.964598784708,800,0.2612386000000697,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga,raw,11409153507961878931,ndisk,8000.0,156.63033061917233,-7843.369669380828,-0.9804212086726035,2177.964598784708,800,0.2612386000000697,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga,raw,11409153507961878931,gamma,2.1,2.4476625230151012,0.34766252301510114,0.16555358238814338,2177.964598784708,800,0.2612386000000697,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga,raw,11409153507961878931,norm,0.25,0.41369774861192404,0.16369774861192404,0.6547909944476962,2177.964598784708,800,0.2612386000000697,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga+scipy,polished,11409153507961878931,tin,0.7,0.7420738910841195,0.04207389108411952,0.060105558691599316,3.120987912552664e-09,1085,0.3192877999990742,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga+scipy,polished,11409153507961878931,ndisk,8000.0,7822.937438343099,-177.06256165690138,-0.02213282020711267,3.120987912552664e-09,1085,0.3192877999990742,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga+scipy,polished,11409153507961878931,gamma,2.1,2.2072669271521708,0.10726692715217068,0.05107948912008127,3.120987912552664e-09,1085,0.3192877999990742,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,1,cutoff,powerlaw,ga+scipy,polished,11409153507961878931,norm,0.25,0.22610124843202759,-0.023898751567972415,-0.09559500627188966,3.120987912552664e-09,1085,0.3192877999990742,0,False
